tm	deltaT	execTm	deltaTExecTm	CoMean	CoMax
2.989370399999999903e-06	4.673753099999999743e-07	6.154600000000000364e+02	2.083000000000004093e+01	2.247083200000000048e-03	3.244907500000000083e-02
3.528649599999999908e-06	5.392792000000000053e-07	6.361900000000000546e+02	2.073000000000001819e+01	3.077565699999999793e-03	4.317644200000000237e-02
4.175784599999999938e-06	6.471350399999999640e-07	6.565700000000000500e+02	2.037999999999999545e+01	4.067950899999999738e-03	5.533376899999999793e-02
4.903811600000000109e-06	7.280269199999999859e-07	6.771799999999999500e+02	2.060999999999989996e+01	5.575939099999999843e-03	7.330819199999999425e-02
5.753176300000000247e-06	8.493647399999999659e-07	6.978999999999999773e+02	2.072000000000002728e+01	7.100130599999999841e-03	9.016008100000000303e-02
6.602541000000000386e-06	8.493647399999999659e-07	7.204900000000000091e+02	2.259000000000003183e+01	9.324380599999999505e-03	1.141526999999999958e-01
7.451905799999999616e-06	8.493647399999999659e-07	7.413700000000000045e+02	2.087999999999999545e+01	1.033479300000000010e-02	1.226875999999999939e-01
8.301270500000000602e-06	8.493647399999999659e-07	7.625199999999999818e+02	2.114999999999997726e+01	1.131595799999999923e-02	1.311213300000000082e-01
9.150635300000000680e-06	8.493647399999999659e-07	7.832899999999999636e+02	2.076999999999998181e+01	1.226933200000000085e-02	1.388448800000000039e-01
1.000000000000000082e-05	8.493647399999999659e-07	8.046000000000000227e+02	2.131000000000005912e+01	1.319628200000000015e-02	1.459210999999999980e-01
1.099999999999999971e-05	9.999999999999999547e-07	8.276000000000000227e+02	2.300000000000000000e+01	1.409777800000000005e-02	1.524109499999999895e-01
1.212499999999999995e-05	1.125000000000000029e-06	8.503999999999999773e+02	2.279999999999995453e+01	1.774226099999999876e-02	1.870575999999999905e-01
1.343749999999999967e-05	1.312499999999999927e-06	8.715000000000000000e+02	2.110000000000002274e+01	2.129999100000000076e-02	2.187574499999999922e-01
1.474999999999999939e-05	1.312499999999999927e-06	8.925299999999999727e+02	2.102999999999997272e+01	2.649879800000000049e-02	2.647155400000000269e-01
1.606250000000000080e-05	1.312499999999999927e-06	9.150000000000000000e+02	2.247000000000002728e+01	2.809764000000000012e-02	2.734055599999999919e-01
1.737499999999999882e-05	1.312499999999999927e-06	9.377100000000000364e+02	2.271000000000003638e+01	2.964855200000000163e-02	2.813279699999999828e-01
1.868750000000000023e-05	1.312499999999999927e-06	9.604500000000000455e+02	2.274000000000000909e+01	3.115063200000000102e-02	2.885602600000000129e-01
2.000000000000000164e-05	1.312499999999999927e-06	9.834900000000000091e+02	2.303999999999996362e+01	3.260704400000000169e-02	2.951757300000000250e-01
2.142857100000000080e-05	1.428571399999999983e-06	1.008480000000000018e+03	2.499000000000000909e+01	3.402082599999999707e-02	3.012441599999999831e-01
2.314285700000000067e-05	1.714285700000000052e-06	1.032609999999999900e+03	2.412999999999988177e+01	3.858714099999999841e-02	3.341720000000000246e-01
2.485714300000000054e-05	1.714285700000000052e-06	1.055589999999999918e+03	2.298000000000001819e+01	4.827395999999999771e-02	4.084589599999999820e-01
2.657142900000000041e-05	1.714285700000000052e-06	1.078440000000000055e+03	2.285000000000013642e+01	5.017947500000000116e-02	4.153537099999999871e-01
2.828571400000000089e-05	1.714285700000000052e-06	1.101240000000000009e+03	2.279999999999995453e+01	5.202480400000000088e-02	4.217153499999999888e-01
3.000000000000000076e-05	1.714285700000000052e-06	1.124119999999999891e+03	2.287999999999988177e+01	5.381046500000000177e-02	4.275991299999999939e-01
3.199999999999999855e-05	1.999999999999999909e-06	1.148430000000000064e+03	2.431000000000017280e+01	5.553673099999999890e-02	4.330516099999999757e-01
3.399999999999999973e-05	1.999999999999999909e-06	1.172529999999999973e+03	2.409999999999990905e+01	6.687544600000000505e-02	5.114682799999999974e-01
3.600000000000000091e-05	1.999999999999999909e-06	1.197029999999999973e+03	2.450000000000000000e+01	6.888662500000000688e-02	5.173027799999999621e-01
3.800000000000000209e-05	1.999999999999999909e-06	1.221099999999999909e+03	2.406999999999993634e+01	7.083034600000000236e-02	5.224418600000000357e-01
4.000000000000000327e-05	1.999999999999999909e-06	1.245380000000000109e+03	2.428000000000020009e+01	7.272790699999999442e-02	5.274701099999999920e-01
4.199999999999999768e-05	1.999999999999999909e-06	1.272069999999999936e+03	2.668999999999982720e+01	7.454683600000000521e-02	5.320584999999999898e-01
4.399999999999999886e-05	1.999999999999999909e-06	1.298460000000000036e+03	2.639000000000010004e+01	7.631756900000000177e-02	5.363549899999999759e-01
4.600000000000000004e-05	1.999999999999999909e-06	1.324539999999999964e+03	2.607999999999992724e+01	7.802956499999999518e-02	5.413872600000000368e-01
4.800000000000000122e-05	1.999999999999999909e-06	1.350740000000000009e+03	2.620000000000004547e+01	7.968051900000000520e-02	5.548755199999999554e-01
5.000000000000000240e-05	1.999999999999999909e-06	1.379670000000000073e+03	2.893000000000006366e+01	8.127971200000000396e-02	5.690507000000000204e-01
5.199999999999999680e-05	1.999999999999999909e-06	1.409690000000000055e+03	3.001999999999998181e+01	8.283729200000000681e-02	5.828850500000000157e-01
5.399999999999999798e-05	1.999999999999999909e-06	1.440640000000000100e+03	3.095000000000004547e+01	8.436933500000000363e-02	5.964625399999999855e-01
5.599999999999999916e-05	1.999999999999999909e-06	1.468779999999999973e+03	2.813999999999987267e+01	8.578797300000000348e-02	6.096295299999999751e-01
5.800000000000000034e-05	1.999999999999999909e-06	1.498759999999999991e+03	2.998000000000001819e+01	8.725090000000000623e-02	6.225670199999999710e-01
