"Result",U:0,"U:1","U:2","vtkValidPointMask","arc_length",Points:0,"Points:1","Points:2"
-0.30701,-1.535,0.068341,0.088312,1,0.035812,0.027717,0,0.125
-0.30648,-1.5324,0.067923,0.091372,1,0.035926,0.02783,0,0.125
-0.30534,-1.5267,0.067666,0.093478,1,0.036039,0.027944,0,0.125
-0.3042,-1.521,0.067409,0.095584,1,0.036152,0.028057,0,0.125
-0.30305,-1.5153,0.067151,0.09769,1,0.036266,0.02817,0,0.125
-0.3019,-1.5095,0.066894,0.099787,1,0.036379,0.028283,0,0.125
-0.30015,-1.5007,0.066647,0.10098,1,0.036492,0.028397,0,0.125
-0.29839,-1.4919,0.0664,0.10218,1,0.036606,0.02851,0,0.125
-0.29663,-1.4831,0.066153,0.10337,1,0.036719,0.028623,0,0.125
-0.29486,-1.4743,0.065897,0.10455,1,0.036832,0.028737,0,0.125
-0.29254,-1.4627,0.065293,0.10513,1,0.036946,0.02885,0,0.125
-0.29022,-1.4511,0.06469,0.1057,1,0.037059,0.028963,0,0.125
-0.2879,-1.4395,0.064087,0.10627,1,0.037172,0.029077,0,0.125
-0.28557,-1.4278,0.063474,0.10684,1,0.037286,0.02919,0,0.125
-0.28274,-1.4137,0.062606,0.10706,1,0.037399,0.029303,0,0.125
-0.27991,-1.3995,0.061738,0.10728,1,0.037512,0.029417,0,0.125
-0.27707,-1.3854,0.06087,0.1075,1,0.037626,0.02953,0,0.125
-0.27422,-1.3711,0.060015,0.10771,1,0.037739,0.029643,0,0.125
-0.27093,-1.3546,0.059431,0.10778,1,0.037852,0.029757,0,0.125
-0.26764,-1.3382,0.058847,0.10786,1,0.037966,0.02987,0,0.125
-0.26434,-1.3217,0.058264,0.10793,1,0.038079,0.029983,0,0.125
-0.26102,-1.3051,0.057702,0.10798,1,0.038192,0.030097,0,0.125
-0.25729,-1.2865,0.057499,0.10769,1,0.038306,0.03021,0,0.125
-0.25356,-1.2678,0.057296,0.1074,1,0.038419,0.030323,0,0.125
-0.24982,-1.2491,0.057092,0.10711,1,0.038532,0.030437,0,0.125
-0.24606,-1.2303,0.056908,0.10679,1,0.038646,0.03055,0,0.125
-0.24192,-1.2096,0.056975,0.10601,1,0.038759,0.030663,0,0.125
-0.23779,-1.1889,0.057041,0.10523,1,0.038872,0.030777,0,0.125
-0.23365,-1.1683,0.057107,0.10445,1,0.038986,0.03089,0,0.125
-0.22949,-1.1474,0.057183,0.10364,1,0.039099,0.031003,0,0.125
-0.22499,-1.1249,0.057377,0.10248,1,0.039212,0.031117,0,0.125
-0.22049,-1.1024,0.057572,0.10133,1,0.039326,0.03123,0,0.125
-0.21599,-1.08,0.057766,0.10017,1,0.039439,0.031343,0,0.125
-0.21146,-1.0573,0.05797,0.099011,1,0.039552,0.031457,0,0.125
-0.20666,-1.0333,0.058266,0.097772,1,0.039666,0.03157,0,0.125
-0.20186,-1.0093,0.058562,0.096532,1,0.039779,0.031683,0,0.125
-0.19706,-0.98528,0.058858,0.095293,1,0.039892,0.031797,0,0.125
-0.19223,-0.96113,0.059172,0.094067,1,0.040006,0.03191,0,0.125
-0.18715,-0.93577,0.05965,0.092963,1,0.040119,0.032023,0,0.125
-0.18208,-0.91042,0.060127,0.091859,1,0.040232,0.032137,0,0.125
-0.17701,-0.88506,0.060605,0.090756,1,0.040346,0.03225,0,0.125
-0.17191,-0.85957,0.061113,0.089687,1,0.040459,0.032363,0,0.125
-0.16659,-0.83297,0.061863,0.088896,1,0.040572,0.032477,0,0.125
-0.16127,-0.80636,0.062613,0.088105,1,0.040686,0.03259,0,0.125
-0.15595,-0.77976,0.063363,0.087314,1,0.040799,0.032703,0,0.125
-0.1506,-0.75301,0.064142,0.086552,1,0.040912,0.032817,0,0.125
-0.14505,-0.72525,0.065127,0.086006,1,0.041026,0.03293,0,0.125
-0.1395,-0.69748,0.066111,0.08546,1,0.041139,0.033043,0,0.125
-0.13394,-0.66971,0.067096,0.084913,1,0.041252,0.033157,0,0.125
