Result,TKE[[m_s]²],U[m_s],V[m_s],W[m_s],vtkValidPointMask,arc_length,Points:0,Points:1,Points:2,Point ID
0.00474889,7.91481e-05,0.0901456,0.295773,4.63566,1,13.14,45,13.14,0,219
0.00479981,7.99968e-05,0.0901612,0.296105,4.63117,1,13.2,45,13.2,0,220
0.00485074,8.08456e-05,0.0901768,0.296438,4.62667,1,13.26,45,13.26,0,221
0.00490166,8.16944e-05,0.0901925,0.29677,4.62218,1,13.32,45,13.32,0,222
0.00495259,8.25432e-05,0.0902081,0.297103,4.61769,1,13.38,45,13.38,0,223
0.00500351,8.33919e-05,0.0902237,0.297435,4.6132,1,13.44,45,13.44,0,224
0.00505444,8.42407e-05,0.0902393,0.297767,4.6087,1,13.5,45,13.5,0,225
0.00510537,8.50895e-05,0.090255,0.2981,4.60421,1,13.56,45,13.56,0,226
0.00515629,8.59382e-05,0.0902706,0.298432,4.59972,1,13.62,45,13.62,0,227
0.00520722,8.6787e-05,0.0902862,0.298764,4.59523,1,13.68,45,13.68,0,228
0.00525815,8.76358e-05,0.0903019,0.299097,4.59074,1,13.74,45,13.74,0,229
0.00530907,8.84845e-05,0.0903175,0.299429,4.58624,1,13.8,45,13.8,0,230
0.00536,8.93333e-05,0.0903331,0.299761,4.58175,1,13.86,45,13.86,0,231
0.00541092,9.01821e-05,0.0903488,0.300094,4.57726,1,13.92,45,13.92,0,232
0.00546185,9.10308e-05,0.0903644,0.300426,4.57277,1,13.98,45,13.98,0,233
0.00551571,9.19285e-05,0.0902708,0.300626,4.568,1,14.04,45,14.04,0,234
0.00557103,9.28505e-05,0.0901225,0.300761,4.5631,1,14.1,45,14.1,0,235
0.00562636,9.37726e-05,0.0899743,0.300895,4.55821,1,14.16,45,14.16,0,236
0.00568168,9.46947e-05,0.089826,0.30103,4.55331,1,14.22,45,14.22,0,237
0.00573701,9.56167e-05,0.0896778,0.301164,4.54841,1,14.28,45,14.28,0,238
0.00579233,9.65388e-05,0.0895295,0.301299,4.54351,1,14.34,45,14.34,0,239
0.00584765,9.74609e-05,0.0893813,0.301433,4.53861,1,14.4,45,14.4,0,240
0.00590298,9.8383e-05,0.089233,0.301568,4.53371,1,14.46,45,14.46,0,241
0.0059583,9.9305e-05,0.0890848,0.301702,4.52881,1,14.52,45,14.52,0,242
0.00601363,0.000100227,0.0889365,0.301836,4.52391,1,14.58,45,14.58,0,243
0.00606895,0.000101149,0.0887883,0.301971,4.51902,1,14.64,45,14.64,0,244
0.00612428,0.000102071,0.08864,0.302105,4.51412,1,14.7,45,14.7,0,245
0.0061796,0.000102993,0.0884918,0.30224,4.50922,1,14.76,45,14.76,0,246
0.00623492,0.000103915,0.0883435,0.302374,4.50432,1,14.82,45,14.82,0,247
0.00629025,0.000104837,0.0881953,0.302509,4.49942,1,14.88,45,14.88,0,248
0.00634557,0.00010576,0.088047,0.302643,4.49452,1,14.94,45,14.94,0,249
0.0064009,0.000106682,0.0878988,0.302778,4.48962,1,15,45,15,0,250
0.00646545,0.000107757,0.087625,0.30276,4.48441,1,15.06,45,15.06,0,251
0.00653,0.000108833,0.0873513,0.302743,4.4792,1,15.12,45,15.12,0,252
0.00659455,0.000109909,0.0870775,0.302726,4.47399,1,15.18,45,15.18,0,253
0.00665911,0.000110985,0.0868038,0.302709,4.46878,1,15.24,45,15.24,0,254
0.00672366,0.000112061,0.08653,0.302692,4.46357,1,15.3,45,15.3,0,255
0.00678821,0.000113137,0.0862563,0.302675,4.45836,1,15.36,45,15.36,0,256
0.00685276,0.000114213,0.0859825,0.302658,4.45315,1,15.42,45,15.42,0,257
0.00691731,0.000115289,0.0857088,0.302641,4.44794,1,15.48,45,15.48,0,258
0.00698187,0.000116364,0.085435,0.302623,4.44273,1,15.54,45,15.54,0,259
0.00704642,0.00011744,0.0851613,0.302606,4.43752,1,15.6,45,15.6,0,260
0.00711097,0.000118516,0.0848875,0.302589,4.43231,1,15.66,45,15.66,0,261
0.00717552,0.000119592,0.0846138,0.302572,4.4271,1,15.72,45,15.72,0,262
0.00724007,0.000120668,0.08434,0.302555,4.42189,1,15.78,45,15.78,0,263
0.00730463,0.000121744,0.0840663,0.302538,4.41668,1,15.84,45,15.84,0,264
0.00736918,0.00012282,0.0837925,0.302521,4.41147,1,15.9,45,15.9,0,265
0.00743373,0.000123896,0.0835188,0.302504,4.40626,1,15.96,45,15.96,0,266
0.00749577,0.000124929,0.0831235,0.302381,4.40088,1,16.02,45,16.02,0,267
0.00755278,0.00012588,0.082485,0.302046,4.39514,1,16.08,45,16.08,0,268
0.00760979,0.00012683,0.0818466,0.301711,4.3894,1,16.14,45,16.14,0,269
0.0076668,0.00012778,0.0812081,0.301377,4.38366,1,16.2,45,16.2,0,270
0.00772381,0.00012873,0.0805697,0.301042,4.37792,1,16.26,45,16.26,0,271
0.00778082,0.00012968,0.0799312,0.300707,4.37218,1,16.32,45,16.32,0,272
0.00783783,0.00013063,0.0792928,0.300373,4.36645,1,16.38,45,16.38,0,273
0.00789484,0.000131581,0.0786543,0.300038,4.36071,1,16.44,45,16.44,0,274
0.00795185,0.000132531,0.0780159,0.299703,4.35497,1,16.5,45,16.5,0,275
0.00800886,0.000133481,0.0773774,0.299369,4.34923,1,16.56,45,16.56,0,276
0.00806587,0.000134431,0.076739,0.299034,4.34349,1,16.62,45,16.62,0,277
0.00812288,0.000135381,0.0761005,0.298699,4.33775,1,16.68,45,16.68,0,278
0.00817989,0.000136331,0.0754621,0.298365,4.33202,1,16.74,45,16.74,0,279
0.0082369,0.000137282,0.0748236,0.29803,4.32628,1,16.8,45,16.8,0,280
0.00829391,0.000138232,0.0741852,0.297696,4.32054,1,16.86,45,16.86,0,281
0.00835092,0.000139182,0.0735467,0.297361,4.3148,1,16.92,45,16.92,0,282
0.00840793,0.000140132,0.0729083,0.297026,4.30906,1,16.98,45,16.98,0,283
0.00847141,0.00014119,0.0721998,0.296604,4.30322,1,17.04,45,17.04,0,284
0.00853812,0.000142302,0.0714565,0.296138,4.29733,1,17.1,45,17.1,0,285
0.00860483,0.000143414,0.0707131,0.295673,4.29144,1,17.16,45,17.16,0,286
0.00867155,0.000144526,0.0699697,0.295207,4.28555,1,17.22,45,17.22,0,287
0.00873826,0.000145638,0.0692263,0.294741,4.27966,1,17.28,45,17.28,0,288
0.00880498,0.00014675,0.0684829,0.294275,4.27377,1,17.34,45,17.34,0,289
0.00887169,0.000147862,0.0677395,0.29381,4.26788,1,17.4,45,17.4,0,290
