k,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2,vtkOriginalIndices,__vtkIsSelected__
0.228533,1,0.0305177,0.0380177,0,0.125,312,0
0.227846,1,0.0306155,0.0381155,0,0.125,313,0
0.227158,1,0.0307133,0.0382133,0,0.125,314,0
0.22647,1,0.0308111,0.0383111,0,0.125,315,0
0.225782,1,0.0309089,0.0384089,0,0.125,316,0
0.225094,1,0.0310067,0.0385067,0,0.125,317,0
0.224405,1,0.0311045,0.0386045,0,0.125,318,0
0.223716,1,0.0312023,0.0387023,0,0.125,319,0
0.223028,1,0.0313002,0.0388002,0,0.125,320,0
0.222339,1,0.031398,0.038898,0,0.125,321,0
0.221656,1,0.0314958,0.0389958,0,0.125,322,0
0.220974,1,0.0315936,0.0390936,0,0.125,323,0
0.220291,1,0.0316914,0.0391914,0,0.125,324,0
0.219609,1,0.0317892,0.0392892,0,0.125,325,0
0.218926,1,0.031887,0.039387,0,0.125,326,0
0.218247,1,0.0319849,0.0394849,0,0.125,327,0
0.217577,1,0.0320827,0.0395827,0,0.125,328,0
0.216907,1,0.0321805,0.0396805,0,0.125,329,0
0.216237,1,0.0322783,0.0397783,0,0.125,330,0
0.215567,1,0.0323761,0.0398761,0,0.125,331,0
0.214896,1,0.0324739,0.0399739,0,0.125,332,0
0.214234,1,0.0325717,0.0400717,0,0.125,333,0
0.213577,1,0.0326695,0.0401695,0,0.125,334,0
0.21292,1,0.0327674,0.0402674,0,0.125,335,0
0.212263,1,0.0328652,0.0403652,0,0.125,336,0
0.211605,1,0.032963,0.040463,0,0.125,337,0
0.210948,1,0.0330608,0.0405608,0,0.125,338,0
0.210297,1,0.0331586,0.0406586,0,0.125,339,0
0.209646,1,0.0332564,0.0407564,0,0.125,340,0
0.208996,1,0.0333542,0.0408542,0,0.125,341,0
0.208345,1,0.033452,0.040952,0,0.125,342,0
0.207694,1,0.0335499,0.0410499,0,0.125,343,0
0.207049,1,0.0336477,0.0411477,0,0.125,344,0
0.206413,1,0.0337455,0.0412455,0,0.125,345,0
0.205777,1,0.0338433,0.0413433,0,0.125,346,0
0.205141,1,0.0339411,0.0414411,0,0.125,347,0
0.204505,1,0.0340389,0.0415389,0,0.125,348,0
0.20387,1,0.0341367,0.0416367,0,0.125,349,0
0.203255,1,0.0342345,0.0417346,0,0.125,350,0
0.202648,1,0.0343324,0.0418324,0,0.125,351,0
0.202041,1,0.0344302,0.0419302,0,0.125,352,0
0.201434,1,0.034528,0.042028,0,0.125,353,0
