t	etaU
583.889	0.0337616
584.444	0.00265224
585	0.0333784
585.556	0.0420109
586.111	0.0700295
586.667	0.00407861
587.222	0.0292641
587.778	0.0521344
588.333	0.0107178
588.889	0.00929385
589.444	0.015409
590	0.0362471
590.556	0.0396775
591.111	0.0722237
591.667	0.00371703
592.222	0.0063451
592.778	0.0106722
593.333	0.021762
593.889	0.0814204
594.444	0.0130836
595	0.0300589
595.556	0.0272925
596.111	0.0352658
596.667	0.0477602
597.222	0.0619325
597.778	0.00423421
598.333	0.0203606
598.889	0.00291401
599.444	0.0263027
600	0.00584026
600.556	0.0374545
601.111	0.016693
601.667	0.0019718
602.222	0.0329424
602.778	0.0267848
603.333	0.0140563
603.889	0.0282219
604.444	0.0222234
605	0.0110941
605.556	0.0297151
606.111	0.00132873
606.667	0.00499945
607.222	0.00249319
607.778	0.0481324
608.333	0.00457876
608.889	0.040804
609.444	0.0105942
610	0.0109323
610.556	0.0265472
611.111	0.0348207
611.667	0.00780536
612.222	0.00243807
612.778	0.0260941
613.333	0.0250391
613.889	0.0125312
614.444	0.0141414
615	0.0544901
615.556	0.0119882
616.111	0.02525
616.667	0.0113108
617.222	0.0102146
617.778	0.0292686
618.333	0.00563311
618.889	0.0261337
619.444	0.01283
620	0.02354
620.556	0.026382
621.111	0.0325332
621.667	0.0553234
622.222	0.0370143
622.778	0.0044263
623.333	0.0196896
623.889	0.0357279
624.444	0.0126379
625	0.0171271
625.556	0.0196791
626.111	0.0198686
626.667	0.0287021
627.222	0.0253816
627.778	0.0290317
628.333	0.00452709
628.889	0.0586079
629.444	0.0104732
630	0.0247656
630.556	0.0136497
631.111	0.0172495
631.667	0.0113909
632.222	0.0169475
632.778	0.0664331
633.333	0.00284876
633.889	0.0354695
634.444	0.00165173
635	0.0193662
635.556	0.0046031
636.111	0.052975
636.667	0.0113401
637.222	0.0344216
637.778	0.0345317
638.333	0.0255331
638.889	0.0136795
639.444	0.000714939
640	0.0494837
640.556	0.0173546
641.111	0.0595248
641.667	0.0377959
642.222	0.00322395
642.778	0.0291057
643.333	0.0172383
643.889	0.00286533
644.444	0.0144062
645	0.00570559
645.556	0.0152785
646.111	0.0419111
646.667	0.0453073
647.222	0.00812479
647.778	0.0227555
648.333	0.0195012
648.889	0.032789
649.444	0.00851657
650	0.00738002
650.556	0.044626
651.111	0.0105899
651.667	0.0087228
652.222	0.0137303
652.778	0.0383366
653.333	0.0133668
653.889	0.062734
654.444	0.0324651
655	0.00468436
655.556	0.018966
656.111	0.0588406
656.667	0.0292012
657.222	0.0156925
657.778	0.0653931
658.333	0.041369
658.889	0.0441215
659.444	0.00526792
660	0.0727419
660.556	0.00325777
661.111	0.0624285
661.667	0.0232181
662.222	0.0106304
662.778	0.0145169
663.333	0.0345144
663.889	0.0234451
664.444	0.010714
665	0.0536732
665.556	0.0428739
666.111	0.0274365
666.667	0.00820852
667.222	0.0166131
667.778	0.0310609
668.333	0.0489464
668.889	0.0142788
669.444	0.01222
670	0.0176789
670.556	0.010662
