t,	etaU
605.489,	0.989687
606.044,	0.713244
606.598,	0.583861
607.153,	0.654602
607.707,	0.896268
608.262,	1.27837
608.816,	1.69132
609.371,	1.89911
609.925,	1.735
610.48,	1.39895
611.034,	1.1529
611.589,	1.22734
612.143,	1.64727
612.698,	2.10043
613.252,	2.29189
613.806,	2.18763
614.361,	1.99853
614.915,	2.01533
615.47,	2.34611
616.024,	2.78765
616.579,	2.98264
617.133,	2.73746
617.688,	2.16236
618.242,	1.49865
618.797,	1.12635
619.351,	1.23496
619.906,	1.71256
620.46,	2.25801
621.015,	2.47727
621.569,	2.19018
622.124,	1.63679
622.678,	1.27541
623.233,	1.32807
623.787,	1.61788
624.342,	1.77303
624.896,	1.65096
625.451,	1.39978
626.005,	1.16393
626.559,	1.01625
627.114,	1.10967
627.668,	1.48428
628.223,	1.99636
628.777,	2.27338
629.332,	1.99363
629.886,	1.35375
630.441,	0.767727
630.995,	0.488565
631.55,	0.505703
632.104,	0.704035
632.659,	0.93535
633.213,	1.13649
633.768,	1.31968
634.322,	1.40419
634.877,	1.31008
635.431,	1.25752
635.986,	1.33232
636.54,	1.42584
637.095,	1.47689
637.649,	1.35093
638.203,	1.08423
638.758,	0.844372
639.312,	0.776776
639.867,	0.951031
640.421,	1.41763
640.976,	1.96881
641.53,	2.16522
642.085,	1.8479
642.639,	1.40092
643.194,	1.17397
643.748,	1.3
644.303,	1.63583
644.857,	1.80013
645.412,	1.75978
645.966,	1.6292
646.521,	1.46353
647.075,	1.34909
647.63,	1.43032
648.184,	1.64793
648.739,	1.84047
649.293,	1.89279
649.848,	1.77671
650.402,	1.51675
650.956,	1.18641
651.511,	0.989655
652.065,	1.09966
652.62,	1.54274
653.174,	2.04307
653.729,	2.18481
654.283,	1.8199
654.838,	1.31195
655.392,	0.989468
655.947,	1.01777
656.501,	1.28652
657.056,	1.42962
657.61,	1.3232
658.165,	1.06115
658.719,	0.856705
659.274,	0.934737
659.828,	1.30647
660.383,	1.77079
660.937,	2.02864
661.492,	1.88008
662.046,	1.44608
662.6,	0.965309
663.155,	0.68867
663.709,	0.706011
664.264,	1.00272
664.818,	1.45266
665.373,	1.82254
665.927,	1.91448
666.482,	1.64149
667.036,	1.207
667.591,	0.975162
668.145,	1.04268
668.7,	1.25228
669.254,	1.41525
669.809,	1.42102
670.363,	1.29994
670.918,	1.08687
671.472,	0.927909
672.027,	0.942238
672.581,	1.24856
673.136,	1.72281
673.69,	1.94838
674.245,	1.77264
674.799,	1.41338
675.353,	1.11529
675.908,	1.04202
676.462,	1.24447
677.017,	1.4969
677.571,	1.63525
678.126,	1.61217
678.68,	1.44328
679.235,	1.24673
679.789,	1.27471
680.344,	1.48544
680.898,	1.63962
681.453,	1.62175
682.007,	1.3609
682.562,	0.95326
683.116,	0.618097
683.671,	0.550959
684.225,	0.730684
684.78,	1.0896
685.334,	1.46215
685.889,	1.57789
686.443,	1.34139
686.998,	1.03259
687.552,	0.876355
688.106,	0.941758
688.661,	1.18041
689.215,	1.37746
689.77,	1.46543
690.324,	1.49144
690.879,	1.4208
691.433,	1.21563
691.988,	1.07908
692.542,	1.14501
693.097,	1.33223
693.651,	1.45292
694.206,	1.30593
694.76,	0.890574
695.315,	0.497843
695.869,	0.339202
696.424,	0.465661
696.978,	0.834191
697.533,	1.29155
698.087,	1.61198
698.642,	1.59122
699.196,	1.29339
699.75,	1.02874
700.305,	1.09159
700.859,	1.38372
701.414,	1.59062
701.968,	1.59274
702.523,	1.46851
703.077,	1.30552
703.632,	1.20951
704.186,	1.26748
704.741,	1.59619
705.295,	2.09324
705.85,	2.3301
706.404,	2.05704
706.959,	1.50959
707.513,	1.13728
708.068,	1.07096
708.622,	1.19213
709.177,	1.29671
709.731,	1.34229
710.286,	1.3837
710.84,	1.33298
711.395,	1.1686
711.949,	1.10506
712.503,	1.23785
713.058,	1.42515
713.612,	1.47759
714.167,	1.31185
714.721,	1.04066
715.276,	0.791386
715.83,	0.692378
716.385,	0.741368
716.939,	0.921219
717.494,	1.11921
718.048,	1.16579
718.603,	1.09766
719.157,	1.00669
719.712,	0.879706
720.266,	0.779335
720.821,	0.78713
721.375,	0.864488
721.93,	0.990481
722.484,	1.10715
723.039,	1.10815
723.593,	0.960748
724.147,	0.852332
724.702,	0.912356
725.256,	1.1675
725.811,	1.43561
726.365,	1.42159
726.92,	1.204
727.474,	1.04394
728.029,	0.996614
728.583,	1.04304
729.138,	1.21835
729.692,	1.50536
730.247,	1.8107
730.801,	1.89789
731.356,	1.72284
731.91,	1.48119
732.465,	1.38498
733.019,	1.40614
733.574,	1.42485
734.128,	1.47429
734.683,	1.52715
735.237,	1.46692
735.792,	1.26423
736.346,	1.08974
736.9,	1.18607
737.455,	1.56103
738.009,	1.80834
738.564,	1.60837
739.118,	1.08034
739.673,	0.61679
740.227,	0.473595
740.782,	0.65959
741.336,	1.0408
741.891,	1.44108
742.445,	1.66538
743,	1.5509
743.554,	1.19837
744.109,	0.914086
744.663,	0.921399
745.218,	1.12771
745.772,	1.26267
746.327,	1.18124
746.881,	0.983977
747.436,	0.805155
747.99,	0.721293
748.544,	0.74409
749.099,	0.915579
749.653,	1.14951
750.208,	1.29494
750.762,	1.29557
751.317,	1.14981
751.871,	0.934893
752.426,	0.763787
752.98,	0.710101
753.535,	0.77988
754.089,	1.0206
754.644,	1.29676
755.198,	1.34559
755.753,	1.09619
756.307,	0.817777
756.862,	0.726322
757.416,	0.917952
757.971,	1.28338
758.525,	1.47166
759.08,	1.39738
759.634,	1.21037
760.189,	1.00329
760.743,	0.890736
761.297,	1.05567
761.852,	1.35366
762.406,	1.54156
762.961,	1.47646
763.515,	1.19038
764.07,	0.885338
764.624,	0.813581
765.179,	0.994973
765.733,	1.20512
766.288,	1.34289
766.842,	1.34742
767.397,	1.15056
