eta1	eta2	eta3	eta4
-1.42032	1.16458	0.516079	0.171628
-1.68943	0.89552	0.550414	0.0284554
-1.90113	0.551008	0.563382	-0.0810633
-2.0314	0.175295	0.574477	-0.139066
-2.06359	-0.213666	0.603829	-0.149103
-1.99868	-0.602569	0.626317	-0.124545
-1.84103	-0.97847	0.618516	-0.0878718
-1.61257	-1.33208	0.572617	-0.0393291
-1.32895	-1.64141	0.485128	0.0221924
-1.00564	-1.90074	0.351501	0.111768
-0.656291	-2.14236	0.168438	0.280991
-0.267884	-2.37834	-0.0739887	0.587622
0.182685	-2.56477	-0.401667	1.01518
0.704547	-2.62282	-0.802511	1.45268
1.25557	-2.49356	-1.24525	1.7692
1.7741	-2.16666	-1.68882	1.84163
2.20384	-1.68804	-2.09072	1.60805
2.49779	-1.12241	-2.30922	1.05742
2.63811	-0.560775	-2.25728	0.38699
2.64995	-0.059442	-2.01929	-0.203913
2.56402	0.410935	-1.70099	-0.696384
2.37005	0.85485	-1.34702	-1.10535
2.04002	1.24788	-0.954454	-1.39001
1.59973	1.52398	-0.535957	-1.50569
1.11179	1.6622	-0.125512	-1.47011
0.63576	1.69433	0.245776	-1.33438
0.197913	1.65041	0.581891	-1.13871
-0.194583	1.54704	0.882692	-0.899214
-0.53979	1.39582	1.13347	-0.63328
-0.841657	1.20843	1.31918	-0.358727
-1.11806	0.997731	1.42019	-0.0823989
-1.3631	0.760172	1.41226	0.165508
-1.52746	0.485666	1.30164	0.296422
-1.59104	0.174407	1.13472	0.254605
-1.55154	-0.194375	0.962349	0.0600103
-1.39447	-0.606631	0.828283	-0.207523
-1.10839	-1.02329	0.739191	-0.452179
-0.690436	-1.41862	0.672052	-0.604557
-0.157898	-1.75419	0.652782	-0.617371
0.369323	-1.94532	0.726306	-0.453501
0.751626	-1.95704	0.842643	-0.130599
1.00992	-1.85049	0.918149	0.227022
1.26972	-1.71875	0.921514	0.525243
1.58456	-1.59422	0.868049	0.800065
1.96588	-1.39565	0.758434	1.09531
2.33668	-1.06016	0.574072	1.39155
2.55426	-0.627371	0.362315	1.56634
2.62427	-0.175886	0.185583	1.52395
2.60441	0.292489	0.0488934	1.25691
2.4616	0.779475	-0.0208272	0.769743
2.16208	1.20167	0.0475165	0.183225
1.73795	1.50715	0.246957	-0.315804
1.24415	1.68034	0.521911	-0.625312
0.724838	1.74671	0.81108	-0.724124
0.21012	1.74244	1.05066	-0.632332
-0.309279	1.73836	1.20829	-0.397897
-0.824247	1.72032	1.28764	-0.0888813
-1.23555	1.55393	1.28678	0.222414
-1.52202	1.24692	1.20577	0.476205
-1.70984	0.871571	1.0546	0.647915
-1.82443	0.480216	0.863253	0.725415
-1.8493	0.0933417	0.677115	0.666474
-1.81231	-0.257585	0.552904	0.464
-1.75882	-0.560472	0.521328	0.174784
-1.69887	-0.801976	0.617851	-0.134024
-1.62701	-0.980772	0.821669	-0.386631
-1.53998	-1.11943	1.06731	-0.50239
-1.41706	-1.28102	1.25987	-0.449905
-1.21795	-1.48776	1.33963	-0.276035
-0.944374	-1.66601	1.31642	-0.0584576
-0.663076	-1.75936	1.21123	0.184172
-0.452744	-1.75656	1.04848	0.519591
-0.333794	-1.70187	0.798041	1.01291
-0.282219	-1.6453	0.378605	1.58696
-0.242799	-1.62162	-0.210375	1.99596
-0.176815	-1.6134	-0.850949	2.04969
-0.0831394	-1.56185	-1.39907	1.76847
0.0412975	-1.44738	-1.77002	1.2652
0.162905	-1.2766	-1.91003	0.607126
0.257879	-1.05134	-1.80883	-0.107542
0.328617	-0.821215	-1.48679	-0.731224
0.376821	-0.62094	-1.00555	-1.13165
0.39848	-0.454377	-0.484051	-1.27163
0.402562	-0.31862	-0.0142306	-1.17934
0.396829	-0.203835	0.354847	-0.923425
0.374918	-0.103985	0.601721	-0.586859
0.33858	-0.020766	0.724812	-0.236615
0.300925	0.0377137	0.740429	0.0326833
0.275886	0.0739435	0.709083	0.13636
