t	eta0	eta1	eta2	eta3	eta4	eta5	eta6	eta7
3.6	-0.624809	-2.04098	-0.148483	-0.334127	0.0499852	0.207498	0.0591643	-0.018901
3.615	-0.342326	-2.10546	-0.0537741	-0.36164	0.127534	0.171156	0.0604857	0.0141286
3.63	-0.0537155	-2.13168	0.0448842	-0.362947	0.184531	0.107227	0.0446678	0.0431729
3.645	0.235768	-2.11918	0.140318	-0.337936	0.211785	0.0260142	0.0161821	0.0600094
3.66	0.520835	-2.06817	0.225588	-0.288431	0.204888	-0.0593948	-0.0169259	0.0598371
3.675	0.796313	-1.97961	0.294506	-0.218044	0.164946	-0.135221	-0.0452918	0.0426933
3.69	1.05723	-1.85512	0.342074	-0.131882	0.098356	-0.189234	-0.0608372	0.0133991
3.705	1.2989	-1.69695	0.364842	-0.0362073	0.0158571	-0.212709	-0.0591414	-0.0197636
3.72	1.51695	-1.508	0.361184	0.062029	-0.0692524	-0.201841	-0.0406165	-0.0473615
3.735	1.70745	-1.29166	0.331404	0.155702	-0.143222	-0.158361	-0.0105125	-0.0615224
3.75	1.86696	-1.05187	0.277694	0.238033	-0.1941	-0.0892888	0.022608	-0.0581924
3.765	1.99265	-0.792954	0.203978	0.303108	-0.213679	-0.00578677	0.0493233	-0.0383178
3.78	2.08227	-0.519597	0.115592	0.346253	-0.198774	0.0786489	0.0620241	-0.00752952
3.795	2.13419	-0.236747	0.0189135	0.364383	-0.151794	0.150382	0.0570994	0.0253711
3.81	2.14746	0.0504864	-0.0790786	0.356205	-0.0803246	0.197824	0.0359921	0.0510581
3.825	2.12183	0.336919	-0.171361	0.322332	0.00409472	0.213356	0.00470719	0.0622428
3.84	2.05775	0.617388	-0.251285	0.26521	0.087862	0.194465	-0.0278571	0.0557702
3.855	1.95637	0.886833	-0.313132	0.188937	0.157487	0.144203	-0.0524801	0.0335211
3.87	1.81948	1.14038	-0.35246	0.0989752	0.201778	0.0706519	-0.0622155	0.00180923
3.885	1.64954	1.37342	-0.366426	0.00179024	0.213616	-0.0143746	-0.0543474	-0.0303788
3.9	1.44961	1.58172	-0.354022	-0.0956279	0.191108	-0.0972039	-0.0311333	-0.0539787
3.915	1.2233	1.76149	-0.316112	-0.186261	0.13786	-0.164544	0.000873577	-0.0623517
3.93	0.97472	1.90947	-0.25541	-0.263565	0.0624066	-0.205569	0.0326658	-0.053149
3.945	0.708387	2.02298	-0.176277	-0.321954	-0.0231564	-0.213667	0.0552577	-0.0289735
3.96	0.429144	2.09997	-0.0844064	-0.357201	-0.105101	-0.187505	0.0622875	0.00338462
3.975	0.142071	2.13905	0.0135739	-0.366755	-0.17025	-0.131241	0.0517525	0.0347847
3.99	-0.147618	2.1395	0.110601	-0.349913	-0.208134	-0.0538716	0.0265958	0.056383
