f	eta0	eta1	eta2	eta3	eta4	eta5	eta6	eta7	sumEta
4.42994	0.517734	1.82689	1.5503	0.70633	14.8231	0.940779	0.0213671	0.500769	20.8873
4.44972	0.273928	1.8893	1.63083	0.644116	12.3222	1.11773	0.00866749	0.549853	18.4366
4.46949	0.187242	1.96689	1.62875	0.556521	10.7148	1.61641	0.0363336	0.603391	17.3104
4.48927	0.303481	1.99961	1.52952	0.498757	9.90072	2.02798	0.0870325	0.629499	16.9766
4.50905	0.533486	1.9583	1.38398	0.504972	9.54494	2.0686	0.127238	0.614412	16.7359
4.52882	0.713963	1.86393	1.27322	0.566292	9.23031	1.70744	0.129438	0.572269	16.0569
4.5486	0.716902	1.7727	1.25448	0.637867	8.66159	1.15334	0.0909267	0.536509	14.8243
4.56838	0.534205	1.73783	1.3238	0.669414	7.7999	0.709029	0.0365216	0.53753	13.3482
4.58815	0.281342	1.77414	1.41969	0.638466	6.84319	0.585026	0.00263126	0.581964	12.1264
4.60793	0.118927	1.84883	1.46473	0.564445	6.07405	0.782864	0.0131283	0.647212	11.5142
4.62771	0.145794	1.9044	1.41686	0.494748	5.67137	1.11463	0.0626701	0.695905	11.5064
4.64748	0.334462	1.89726	1.29636	0.472691	5.60462	1.33377	0.119472	0.700904	11.7595
4.66726	0.550941	1.82633	1.17158	0.509302	5.66584	1.29061	0.144609	0.66395	11.8232
4.68704	0.644536	1.73294	1.11247	0.576427	5.60944	1.01303	0.120894	0.61641	11.4261
4.70681	0.547565	1.67265	1.14507	0.626739	5.30339	0.673371	0.0620169	0.597992	10.6288
4.72659	0.319411	1.67831	1.23462	0.625194	4.79796	0.466949	0.0068562	0.6306	9.75989
4.74637	0.10561	1.73863	1.30968	0.571944	4.28221	0.498066	0.00668062	0.702316	9.21513
4.76614	0.0415561	1.80626	1.30987	0.501251	3.94673	0.708397	0.0326083	0.7742	9.12087
4.78592	0.161859	1.82975	1.22551	0.45818	3.86931	0.938384	0.100361	0.805901	9.38925
4.8057	0.378599	1.78777	1.10313	0.468477	3.96784	1.0267	0.15181	0.783372	9.66769
4.82547	0.540675	1.70306	1.01391	0.521943	4.0617	0.913549	0.150982	0.729566	9.63539
4.84525	0.534843	1.62652	1.00595	0.580467	3.99158	0.671847	0.0967336	0.69095	9.19888
4.86503	0.360656	1.60295	1.07338	0.603212	3.71989	0.452976	0.0237303	0.705628	8.54242
4.8848	0.12948	1.64128	1.16074	0.574207	3.34738	0.385107	0.0185295	0.777331	8.03406
4.90458	0.0106098	1.70914	1.20056	0.51206	3.04029	0.492464	0.000608549	0.871115	7.83685
4.92435	0.0265875	1.7552	1.15805	0.4568	2.91837	0.685948	0.0710118	0.935754	8.00773
4.94413	0.208967	1.74349	1.05353	0.443091	2.98012	0.827109	0.146957	0.938622	8.34189
4.96391	0.408623	1.67707	0.948094	0.477298	3.10923	0.819828	0.176965	0.888953	8.50606
4.98368	0.487497	1.59534	0.902689	0.53413	3.15585	0.669355	0.138672	0.833453	8.31698
5.00346	0.388949	1.54738	0.93787	0.573887	3.03443	0.473103	0.0556696	0.825611	7.8369
5.02324	0.174583	1.55918	1.0208	0.569071	2.77594	0.352987	0.0169464	0.889318	7.35883
5.04301	0.0176138	1.61673	1.08775	0.522343	2.5018	0.375905	0.028796	1.00124	7.15217
5.06279	0.065443	1.67587	1.08668	0.464017	2.34107	0.513386	0.0312639	1.10509	7.28282
5.08257	0.0564308	1.69204	1.0114	0.431468	2.34583	0.664783	0.126016	1.14868	7.47664
5.10234	0.26053	1.64994	0.905058	0.444241	2.46051	0.725522	0.193147	1.12009	7.75904
5.12212	0.405639	1.57335	0.830791	0.491464	2.56225	0.655084	0.186263	1.05722	7.76206
5.1419	0.391044	1.50871	0.829754	0.539792	2.54377	0.500116	0.106944	1.02463	7.44476
5.16167	0.223017	1.49396	0.894233	0.555935	2.38256	0.360189	0.00557222	1.07105	6.98651
5.18145	0.00964957	1.5333	0.973474	0.528607	2.15238	0.320609	0.0500724	1.19614	6.76423
5.20123	0.111751	1.59505	1.00787	0.475571	1.97049	0.398116	0.019363	1.34837	6.92658
5.221	0.0660855	1.63307	0.968394	0.431197	1.91987	0.532613	0.0830517	1.4573	7.09157
5.24078	0.110233	1.61771	0.875324	0.423474	1.99579	0.630022	0.19373	1.47954	7.32581
5.26056	0.29452	1.5553	0.784606	0.455652	2.11223	0.624604	0.240371	1.43043	7.49771
5.28033	0.359917	1.48342	0.748674	0.504401	2.16113	0.520436	0.185617	1.37571	7.33931
5.30011	0.259594	1.4455	0.785114	0.536209	2.08375	0.385665	0.0607539	1.39729	6.95388
5.31989	0.0571948	1.4619	0.862008	0.529244	1.90725	0.305615	0.0561021	1.53455	6.71386
