f	spct
788	0.064915
788.5	0.055333
789	0.070834
789.5	0.10501
790	0.16342
790.5	0.16492
791	0.11868
791.5	0.094084
792	0.10857
792.5	0.12862
793	0.13852
793.5	0.085168
794	0.054743
794.5	0.05753
795	0.052141
795.5	0.069378
796	0.11685
796.5	0.12823
797	0.085476
797.5	0.075027
798	0.083702
798.5	0.086418
799	0.07683
799.5	0.060793
800	0.060644
800.5	0.069432
801	0.088966
801.5	0.11412
802	0.095593
802.5	0.082415
803	0.073389
803.5	0.075728
804	0.12215
804.5	0.14738
805	0.14465
805.5	0.14489
806	0.12833
806.5	0.13351
807	0.1267
807.5	0.080311
808	0.061633
808.5	0.089697
809	0.10608
809.5	0.098176
810	0.077453
810.5	0.061779
811	0.061803
811.5	0.066265
812	0.060595
812.5	0.085417
813	0.10642
813.5	0.079583
814	0.057916
814.5	0.081342
815	0.12502
815.5	0.14396
816	0.1297
816.5	0.10998
817	0.080167
817.5	0.066394
818	0.070008
818.5	0.087745
819	0.092017
819.5	0.1091
820	0.12098
820.5	0.11035
821	0.10528
821.5	0.12986
822	0.13675
822.5	0.10388
823	0.084275
823.5	0.10289
824	0.13903
824.5	0.17491
825	0.14179
825.5	0.081372
826	0.062697
826.5	0.063248
827	0.074679
827.5	0.10978
828	0.11454
828.5	0.10591
829	0.12636
829.5	0.11187
830	0.098629
830.5	0.11897
831	0.16472
831.5	0.19934
832	0.19701
832.5	0.14174
833	0.11938
833.5	0.1197
834	0.10563
834.5	0.076644
835	0.066977
835.5	0.087399
836	0.096768
836.5	0.079922
837	0.072311
837.5	0.096456
838	0.10859
838.5	0.088627
839	0.069591
839.5	0.072003
840	0.085361
840.5	0.07444
841	0.081865
841.5	0.12149
842	0.13495
842.5	0.10455
843	0.083499
843.5	0.088533
844	0.094536
844.5	0.094548
845	0.076555
845.5	0.073124
846	0.078932
846.5	0.089513
847	0.10587
847.5	0.10737
848	0.10473
848.5	0.10129
849	0.10973
849.5	0.12051
850	0.13514
850.5	0.13913
851	0.12915
851.5	0.11707
852	0.095043
852.5	0.094086
853	0.098834
853.5	0.069867
854	0.05909
854.5	0.086204
855	0.10722
855.5	0.12429
856	0.1474
856.5	0.13957
857	0.12298
857.5	0.097165
858	0.093514
858.5	0.1137
859	0.13217
859.5	0.11564
860	0.093989
860.5	0.076802
861	0.07537
861.5	0.088451
862	0.06355
862.5	0.051303
863	0.066481
863.5	0.076325
864	0.073898
864.5	0.096486
865	0.11258
865.5	0.07744
866	0.058815
866.5	0.075165
867	0.093497
867.5	0.096182
868	0.11305
868.5	0.1179
869	0.12561
869.5	0.14099
870	0.14701
870.5	0.12912
871	0.10671
871.5	0.09012
872	0.094638
872.5	0.11003
873	0.096311
873.5	0.078158
874	0.076509
874.5	0.073197
875	0.072157
875.5	0.094975
